x0000,y0000
0,0,
1,3.797434896,
2,4.317395833,
3,4.208323568,
4,4.27836263,
5,4.495354818,
6,4.549121094,
7,4.477799479,
8,4.39476888,
9,4.39476888,
10,4.412906901,
11,4.412906901,
12,4.373902995,
13,4.553688151,
14,4.603375651,
15,4.608180339,
16,4.588004557,
17,4.591383464,
18,4.466914062,
19,4.384075521,
20,4.453919271,
21,4.435309245,
22,4.515266927,
23,4.508880208,
24,4.540670573,
25,4.540670573,
26,4.570719401,
27,4.570719401,
28,4.72555013,
29,4.801083984,
30,4.742281901,
31,4.827109375,
32,4.766129557,
33,4.777682292,
34,4.871035156,
35,4.895725911,
36,4.739160156,
37,4.890221354,
38,4.799130859,
39,4.779886068,
40,4.74171875,
41,4.74171875,
42,4.82414388,
43,4.82414388,
44,4.738378906,
45,4.622467448,
46,4.607265625,
47,4.586897786,
48,4.57233724,
49,4.672125651,
50,4.546070964,
51,4.583037109,
52,4.568522135,
53,4.585211589,
54,4.588867188,
55,4.504427083,
56,4.525748698,
57,4.525748698,
58,4.509469401,
59,4.509469401,
60,4.507438151,
61,4.544417318,
62,4.482861328,
63,4.525751953,
64,4.516015625,
65,4.475429688,
66,4.503662109,
67,4.569759115,
68,4.441025391,
69,4.465143229,
70,4.414244792,
71,4.489697266,
72,4.477529297,
73,4.477529297,
74,4.483557943,
75,4.483557943,
76,4.404648437,
77,4.418723958,
78,4.529505208,
79,4.440507812,
80,4.448730469,
81,4.487236328,
82,4.402994792,
83,4.426585286,
84,4.476953125,
85,4.485768229,
86,4.418932292,
87,4.384280599,
88,4.379316406,
89,4.379316406,
90,4.388411458,
91,4.388411458,
92,4.365830078,
93,4.309619141,
94,4.356995443,
95,4.379482422,
96,4.382451172,
97,4.305325521,
98,4.343486328,
99,4.346901042,
100,4.237200521,
101,4.318697917,
102,4.350843099,
103,4.237327474,
104,4.222132161,
105,4.222132161,
106,4.230989583,
107,4.230989583,
108,4.214990234,
109,4.265172526,
110,4.217167969,
111,4.223997396,
112,4.192714844,
113,4.213323568,
114,4.272597656,
115,4.212109375,
116,4.204166667,
117,4.194947917,
118,4.170182292,
119,4.186533203,
120,4.181992187,
121,4.181992187,
122,4.168958333,
123,4.168958333,
124,4.15140625,
125,4.167317708,
126,4.167340495,
127,4.140192057,
128,4.214378255,
129,4.17734375,
130,4.122545573,
131,4.135888672,
132,4.091702474,
133,4.10069987,
134,4.043798828,
135,4.117014974,
136,4.084820964,
137,4.084820964,
138,4.083971354,
139,4.083971354,
140,4.064856771,
141,4.094326172,
